Sik-K	GS.EI1.S.IH5.GS.AI1.K.EI4.K.EI4.Y.I2
曾靜玟	Z.EG1.JI.IG4.W.EN2
Thirty Seconds to Mars	SH.E1.TI.I1.S.AI1.K.AG1.D.E5.S.DU.U2.M.A4.D.E5.S
Madeleine Peyroux	M.EI2.D.E5.LI.I3.Y.IN1.K.EI4.RU.A3.S
Tracy Chapman	CHU.EI1.XI.I3.QI.IE1.P.U5.M.EN3
茱蒂·班森	ZHU.U1.DI.I4.B.AN1.SH.EG1
Bette Midler	BI.EI2.D.E5.MI.I3.D.E5.L.E5
解偉苓	XI.IE4.W.EI3.LI.IG2
申昇勳	SH.EN1.SH.EG1.XU.IN1
Lee Hyori	LI.I2.XI.I1.R.OU5.LI.I3
AAA	GS.EI1.GS.EI1.GS.EI4
Pink Floyd	PI.IG1.K.E5.F.O4.Y.I5.D.E5
李健	LI.I3.JI.AN4
Afterschool	GS.A1.F.T.ER5.S.IH5.GU.O3
MAC MILLER	M.EI1.K.E2.MI.OU1.L.E5
Lupe Fiasco	W.U2.P.E4.DI.I3.Y.A1.S.IH5.K.OU3
布萊恩·泰勒	BU.U4.L.AI2.GS.EN1.T.AI4.L.E4
aimyon	GS.EI1.MI.I4.Y.AG2
施文彬	SH.IH1.W.EN2.BI.IN1
Chaka Khan	JI.AO1.K.A1.H.AO4
Daniel Hope	D.EN1.NI.OU3.H.OU4
蔣卓嘉	JI.AG3.ZHU.O2.JI.A1
SE O	XI.IE4.GS.OU5
Connie Talbot	K.A1.NI.I3.T.OU1.BI.EN3.D.E5.T
全烋星	QU.AN2.XI.AO1.XI.IG1
3LAU	S.AN1.GS.EI1.L.OU5.GS.EI1.Y.OU1
Jazz Guitar Club	JI.IE4.S.G.E5.T.A4.R.K.E5.L.A4.BU.U5
Wilco	W.O3.Y.AO4.K.OU3
Sufjan Stevens	SH.A1.BU.U4.JU.IN1.S.IH5.DI.I4.D.EN3.S
Two Door Cinema Club	TU.U3.D.OU1.S.I2.LI.IE1.M.A1.K.E5.L.A4.D.E5.K.E5
SHISHAMO	XU.YU1.XI.A1.M.EG2
黃乙玲	HU.AG2.Y.I3.LI.IG2
那英	N.A4.Y.IG1
Green Day	GU.U2.LI.IN1.D.EI4
盧凱彤	LU.U2.K.AI3.TU.OG2
Loco	L.OU1.K.OU3
雨宗林	YU.YU3.ZU.OG1.LI.IN2
My Chemical Romance	M.AI3.K.EI1.M.E5.K.OU3.R.OU3.M.EN4.S.IH5
周蕙	ZH.OU1.HU.EI4
鄭怡	ZH.EG4.Y.I2
休·傑克曼	XI.OU1.JI.IE1.K.E3.M.AN3
金范秀	JI.IN1.F.AN4.XI.OU4
Solange	S.OU3.L.AG4
放浪兄弟	F.AG4.L.AG4.XI.OG1.DI.I4
吳建豪	W.U2.JI.AN4.H.AO2
國蛋	GU.O2.D.AN4
Mindy Gledhill	MI.IG4.DI.I1.BU.U2.Y.I4.F.U5.Y.I4.GS.OU3
Omi	GS.OU1.MI.I3
NCT	GS.EN1.S.EI1.TI.I3
羅志祥	LU.O2.ZH.IH4.XI.AG2
徐懷鈺	XU.YU2.HU.AI2.YU.YU4
范宗沛	B.AN4.ZHU.OG1.P.EI4
柴克艾弗	CH.AI2.K.E4.GS.AI4.F.U2
Aimer	GS.EI1.M.ER3
和樂器樂團	H.E2.YU.IE4.QI.I4.YU.IE4.TU.AN2
中孝介	ZHU.OG1.XI.AO4.JI.IE4
Alok	GS.EI2.L.OU5.K.E5
井柏然	JI.IG3.BU.O2.R.AN2
Audien	GS.OU1.LI.EN3
Conor Maynard	K.A1.N.ER3.M.EI1.N.A1.R.D
The Cardigans	R.E5.K.A4.D.E3.G.EG3
LUNA SEA	LU.U1.N.A3.XI.I4
Aloe Blacc	GS.A1.L.OU3.BU.U4.L.AI4.K.E5
NU'EST	NI.OU1.Y.I1.GS.EI4.S.IH5.T
Tinashe	TI.IN4.N.A3.XU.YU3
土岐麻子	TU.U3.QI.I2.M.A2.Z.IH3
Álvaro Soler	GS.A2.W.A5.N.OU1.S.OU1.L.E5
The Corrs	L.E4.K.OU4.GS.ER3.S
Phoebe Ryan	BI.I1.BI.I1.W.AI1.GS.EN3
AMBER	GS.EI1.M.B.ER3
SPICA	S.IH5.PI.I3.K.A3
劉嘉亮	LI.OU2.JI.A1.LI.AG4
Eva Cassidy	Y.I1.F.A3.K.A1.XI.I3.DI.I3
The Police	LI.AO4.P.E5.LI.I4.S.IH5
Children's Music	QI.OU1.ZHU.UN3.MI.OU1.XI.I3.K.E5
許嵩	XU.YU3.SU.OG1
Syn Cole	XI.IN1.K.OU4.GS.OU5
toe	T.OU4
Kid Ink	TI.I2.D.E5.Y.IG4.K.E3
Zia	R.I1.Y.A3
Judy Kuhn	JI.OU1.DI.I2.KU.OG4
Benny Benassi	BI.AN1.NI.I3.BI.I1.N.A3.XI.I2
姜育恆	JI.AG1.YU.YU4.H.EG2
歐陽娜娜	GS.OU1.Y.AG2.N.A4.N.A4
LCD Soundsystem	GS.EI1.GS.OU3.XI.I1.DI.I1.S.AO1.D.E5.S.IH1.S.IH5.T.EN3
輝晟	HU.EI1.SH.EG4
George Benson	JI.OU4.JU.YU3.BI.AN1.S.EN3
Yerin Baek	Y.IE2.R.Y.IG1.BI.EI4.K.E5
Alex Aiono	GS.A1.L.AI2.S.IH5.GS.EI2.GS.A5.N.OU3
Skrillex	S.GU.EI1.L.E5.K.E5.S.IH5
Kim Feel	TI.IG1.BI.I3.GS.OU3
Brian McKnight	BU.U1.L.AI4.GS.EN3.M.EI4.K.N.AI3.T
J.Y. Park	JI.IE2.Y.I1.W.AI4.P.A4.K.E5
*NSYNC	GS.EN1.XI.IG4.K.E5
E-girls	Y.I2.G.ER4.GS.OU3.S
My Little Airport	M.AI3.LI.I1.T.OU3.GS.EI1.GS.ER5.P.O5.T
藝聲	Y.I4.SH.EG1
朱興東	ZHU.U1.XI.IG4.DU.OG1
Juju	ZHU.U1.JI.OU1
John Denver	JI.AG4.DI.AN1.F.ER3
謝金燕	XI.IE4.JI.IN1.Y.AN4
風格童星組合	F.EG1.G.E2.TU.OG2.XI.IG1.ZU.U3.H.E2
Junichi Kamiyama	JI.OU1.NI.I3.QI.I3.K.A1.M.E5.Y.A1.M.A5
M.C THE MAX	GS.EI4.M.XI.I1.D.E5.MI.IE4.P.S
Korn	KU.OG4
Piano Bar Music Specialists	PI.I4.GS.AN1.D.OU1.B.A3.GS.ER5.MI.OU1.XI.I3.K.S.B.AI4.SH.OU4.L.E5.S.IH5
Leonard Cohen	NI.I4.ER3.N.OU3.GS.ER3.K.OU1.H.EN3
Michael Bolton	M.AI4.K.OU1.GU.O1.D.EG3
黃妃	HU.AG2.F.EI1
U-KISS	Y.OU1.K.IE4.S.IH5
T-ara	DI.I4.GS.EI2.L.A3
陳慧嫻	CH.EN2.HU.EI4.XI.AN2
Empire of the Sun	GS.EI1.M.P.AI4.GS.ER3.GS.AO5.D.S.SU.AN4
Weezer	W.I1.S.ER3
The National	R.E5.L.EI4.XU.AN3.GS.OU3
DIA	DI.I1.GS.AI4.GS.EI1
衛蘭	W.EI4.L.AN2
L'Arc〜en〜Ciel	GS.EI4.W.OU3.GS.A4.K.E3.XI.IE3.GS.OU3
Wayne Gratz	W.EI2.Y.IG1.RU.EI4.K.S.IH5
亞歷山卓·戴斯普雷特	Y.A3.LI.I4.S.AN1.ZHU.O2.D.AI4.S.IH1.P.U3.L.EI1.T.E4
Big Sean	BI.I1.K.SH.AG3
生物股長	SH.EG1.W.U4.GU.U2.ZH.AG3
BOBBY	B.A1.BI.I3
Tiffany	TI.I1.F.EN3.NI.I3
順子	SHU.UN4.Z.IH3
Frank Sinatra	RU.EI1.K.E5.S.I2.M.EI1.CHU.A3
美聲男伶	M.EI3.SH.EG1.N.AN2.LI.IG2
Duke Ellington	DU.U4.K.GS.EI1.LI.IG3.T.EN3
Armin van Buuren	GS.A1.MI.I4.F.AG1.BU.U4.R.EN2.LU.UN2
Sleep Music Lullabies	SH.IH3.F.I1.MI.OU1.XI.I3.K.L.A1.L.E5.B.AI3.S.IH5
Meditation Masters	M.EI4.LI.I4.TU.EI1.XU.AN1.M.A1.S.IH5.T.ER3.S
Keala Settle	K.EI2.L.A1.S.EI1.T.OU3
中島美嘉	ZHU.OG1.D.AO3.M.EI3.JI.A1
Costantino Catena	K.OU1.S.IH5.T.EG2.D.E5.N.OU3.K.IE4.T.E5.N.A3
Priscilla Ahn	P.U5.S.I1.L.A5.GS.AN4
The Strokes	R.E4.S.IH5.CU.O4.S
蘇盈之	SU.U1.Y.IG2.ZH.IH1
Mad Clown	M.EI1.D.E5.K.AO4
溫嵐	W.EN1.L.AN2
武部聡志	W.U3.BU.U4.CU.OG1.ZH.IH4
CODE KUNST	GU.O2.KU.OG4.T.ER5
Simon & Garfunkel	SH.A1.M.EN4.GS.EN1.G.A1.B.AG1.K.OU3
Dr. Dre	D.A2.TU.EI4.ZU.EI4
許志安	XU.YU3.ZH.IH4.GS.AN1
Sleeping Mozart Relaxing Baby	S.DI.I1.PI.I1.M.O1.S.A1.D.E5.RU.U5.L.EI1.XI.IN1.BI.EI1.LI.I3
Tori Kelly	TU.O1.R.Y.I3.K.EI4.LI.I3
Simple Plan	XI.IN1.F.OU1.P.L.EI4.M
清水翔太	QI.IG1.SHU.EI3.XI.AG2.T.AI4
Frank Ocean	F.EG4.K.E5.GS.OU1.SH.EN3
Kaskade	K.EI1.S.IH5.K.IE4.T
吳金黛	W.U2.JI.IN1.D.AI4
齊豫	QI.I2.YU.YU4
Nelly	NI.IE1.LI.I3
四葉草	S.IH4.Y.IE4.C.AO3
舒米恩	SHU.U1.MI.I3.GS.EN1
容祖兒	LU.OG2.ZU.U3.GS.ER2
神話	SH.EN2.HU.A4
Diana Krall	D.AI4.GS.AN1.N.A1.KU.O1
Glee Cast	G.LI.I4.K.A4.S.T
J Balvin	ZH.EI1.BI.AO1.D.EN3
Bethel Music	F.EI1.S.OU3.MI.OU1.XI.I3.K
Lenka	LI.AN1.K.A3
張智成	ZH.AG1.ZH.IH4.CH.EG2
水樹奈奈	SHU.EI3.SHU.U4.N.AI4.N.AI4
John Williams	ZH.AG1.W.EI1.LI.AN3.P.S.IH5
V.K克	F.I1.K.EI4.K.E4
刀郎	D.AO1.L.AG2
Primary	P.L.AI1.M.EI3.R.I3
Queen	KU.EI4.M
Chris Botti	KU.EI1.S.IH5.B.AO1.DI.I3
YOONA	W.AI1.GS.OU1.GS.OU1.GS.EN1.GS.EI2
Electric Light Orchestra	Y.I3.L.AI2.JU.IE3.K.L.AI4.N.T.XI.IE3.GS.OU1.K.S.SU.AN4
傑米·道南	JI.IE2.MI.I3.D.AO4.N.AN2
胡歌	HU.U2.G.E1
CeeLo Green	S.I1.L.OU1.GU.U2.LI.IN4
Music Together	MI.OU1.XI.I3.K.K.EI1.G.IE1.D.ER3
APRIL	GS.EI1.P.L.AO3
Jeff Bernat	JI.IE1.F.U5.F.EN1.N.A4.CH.ER5
Isaac Shepard	GS.AI1.XI.IE4.XI.A4.P.ER3.R.I5
嚴爵	Y.AN2.JU.IE2
The Countdown Kids	GS.EI2.K.AG1.D.AO4.K.I3.D.E5.S
The 1975	LI.OU2.Y.I4.JI.OU3.QI.I1.W.U3
GARY	G.EI4.R.I3
Tank Lu	T.AI2.K.E5.LU.U3
Lil Wayne	LI.I4.GS.AO1.W.EI3.Y.IG3
Bob Dylan	B.A2.BU.U5.BI.I4.R.EN3
High4	H.AI1.F.OU3
Michael Learns to Rock	M.AI4.K.OU1.R.EN2.S.DU.U1.RU.A4.K.E3
VIXX LR	LI.I4.GS.AI4.GS.AI4.S.IH5.T.GS.EI4.M.S.IH5.GS.EI2.L.OU3.GS.ER3
Das Sound Machine	D.A1.SH.AO1.R.E5.M.E5.XU.YU1
Boxing樂團	B.AO1.S.XI.IN1.RU.EI4.TU.AN2
Juicy J	JI.OU1.XI.I4.ZH.EI4
許哲珮	XU.YU3.ZH.E2.P.EI4
洪安妮	HU.OG2.GS.AN1.NI.I2
Vicetone	B.AI2.S.IH5.T.OU3
m.o.v.e	M.E4.F.U5
Gotye	G.OU2.TI.IE3
Paul McCartney	P.O1.M.A3.K.AG1.LI.I3
Claudio Arrau	K.E3.L.AO2.DI.I3.GS.OU3.GS.A3.L.OU3
Jessi	JI.IE1.XI.I3
Keith Urban	K.IE1.S.IH5.GS.ER4.BI.EN3
LABOUM	L.A1.BU.U4.Y.IG3
Andy Grammer	GS.AN1.DI.I1.GU.EI1.M.AN3
Outkast	GS.AO4.D.E5.K.A3.S
Jordin Sparks	JI.OU1.D.EN3.S.B.A4.R.K.S
克莉絲朵凱兒	K.E1.LI.I3.SH.IH4.DU.O1.K.AI3.GS.ER2
David Garrett	DI.IE1.LI.I4.G.EI3.RU.EI3.T.E5
Rob Thaller	B.A2.BU.O5.S.A1.L.ER3
amazarashi	GS.A1.M.EI1.S.A3.RU.A1.XI.I3
Blue	BU.U2.LU.U4
Kiiara	TI.I2.Y.A1.L.A3
郎朗	L.AG2.L.AG3
鄭俊英	ZH.EG4.JU.IN4.Y.IG1
Alina Baraz	GS.E4.LI.IG2.N.A4.B.A4.R.I5
林依晨	LI.IN2.Y.I1.CH.EN2
The Chemical Brothers	L.E4.K.AI3.MI.I4.K.OU1.BU.U4.GS.A1.D.E5.S
a-ha	GS.A1.H.A1
孟庭葦	M.EG4.TI.IG2.W.EI3
阿牛	GS.A1.NI.OU2
Hans Zimmer	H.AG2.S.IH5.R.EN4.N.A3
盛曉玫	SH.EG4.XI.AO3.M.EI2
孫露	SU.UN1.LU.U4
Bastille	B.AI2.S.IH5.DI.I4.GS.OU3
Faith Hill	F.EI4.S.H.IH1.GS.OU3
Super Junior	SU.U1.P.AI4.ZHU.U1.NI.OU5
Bryan Adams	BU.U1.L.AI1.GS.EN3.GS.EI1.D.E3.M.S.IH5
久石讓	JI.OU3.SH.IH2.R.AG4
Michael Jackson	M.AI4.K.OU3.JI.IE4.S.EN3
Gidon Kremer	Y.I4.D.E5.KU.EI1.M.ER3
Travis Scott	CHU.A4.F.I5.S.IH5.S.IH5.G.OU4.T.E5
郭采潔	GU.O1.C.AI3.JI.IE2
Pinkfong	PI.IG1.K.E5.F.OG4
Kenny Loggins	K.EN1.NI.I3.LU.O4.G.EN3.S
李代沫	LI.I3.D.AI4.M.O4
Skillet	SH.IH3.BI.I1.L.EI3.T.E5
Oh Wonder	GS.OU4.W.AN1.D.ER3
Paramore	P.EI2.L.AI2.M.O4.GS.ER3
倫敦愛樂樂團	LU.UN2.DU.UN1.GS.AI4.YU.IE4.YU.IE4.TU.AN2
Evanescence	GS.EI4.W.EN5.NI.IE1.S.EN3.S
CLC	XI.I1.GS.EI2.L.OU3.XI.I1
陳慧琳	CH.EN2.HU.EI4.LI.IG2
Vladimir Ashkenazy	F.A4.T.E5.MI.IE1.ER3.GS.EI2.S.IH5.K.EN3.N.A1.XI.I3
王大文	W.AG2.D.A4.W.EN2
樸孝信	PI.AO2.XI.AO4.XI.IN4
Janet Jackson	JI.AN2.LI.I2.K.JI.IE1.S.EN3
Red Hot Chili Peppers	RU.EI4.H.A4.T.E5.QI.I1.P.EI2.P.E3.S.IH5
Lady Antebellum	L.EI1.TI.I4.GS.EN1.TU.U5.BI.EI1.L.EG3
Maurizio Pollini	MU.O1.R.Y.I3.JI.I3.GS.OU3.P.OU3.LI.I3.NI.I3
陳惠婷	CH.EN2.HU.EI4.TI.IG2
高潤荷	G.AO1.RU.UN4.H.E2
地球樂團	DI.I4.QI.OU2.YU.IE4.TU.AN2
Louis Armstrong	L.OU1.W.EI3.S.XI.IE3.GS.A3.M.S.ZHU.AG4
品冠	PI.IN3.GU.AN4
Tiësto	TI.I4.GS.AI4.S.DU.O4.GS.OU3
Daniel Caesar	G.AN1.Y.OU3.XI.I1.S.T.ER3
TEEN TOP	K.Y.IN1.T.A4.P
鹿晗	LU.U4.H.AN2
巴倫波因	B.A1.LU.UN2.BU.O1.Y.IN1
絢香	XU.AN4.XI.AG1
LiSA	LI.I1.S.A3
朱俐靜	ZHU.U1.LI.I4.JI.IG4
Destiny's Child	DI.IE1.S.IH5.T.E5.NI.I3.S.IH5.C.AI4.GS.OU3.D.E5
安心亞	GS.AN1.XI.IG1.Y.A3
Fun.	F.AG4
葉倩文	Y.IE4.QI.AN4.W.EN2
劉惜君	LI.OU2.XI.I2.JU.IN1
錦繡二重唱	JI.IN3.XI.OU4.GS.E4.CH.EG2.CH.AG4
Jamie Lawson	JI.IE2.MI.I3.L.OU3.S.EN3
橘子新樂團	JU.YU2.Z.IH2.XI.IN1.YU.IE4.TU.AN2
New Age 睡眠 Star	NI.I4.W.U3.GS.EI4.JU.YU2.SHU.EI4.NI.AN2.S.IH5.D.A4
Min Kyung Hoon	MI.IG4.K.YU4.HU.OG4
李碧華	LI.I3.BI.I4.HU.A2
黃義達	HU.AG2.Y.I4.D.A2
By2	B.AI3.GS.ER4
張玉華	ZH.AG1.YU.YU4.HU.A2
邱鋒澤	QI.OU1.F.EG1.ZH.E2
甄妮	ZH.EN1.NI.I2
Sigma	XI.I1.G.E5.M.A3
Henrik Birk Aaboe	H.EN1.R.I3.K.B.ER5.K.E5.GS.EI1.BU.OU3
Bonobo	B.AO1.N.E5.B.OU3
雅尼	Y.A3.NI.I2
Zee Avi	LI.I4.GS.A1.BI.I3
Death Cab for Cutie	D.EI1.S.IH5.K.EI4.BI.EI4.F.OU3.K.YU4.DI.I3
SISTAR19	XI.I1.S.D.A3.R.Y.AO1.JI.OU2
Tritonal	QU.YU2.TU.O1.N.OU3
詹姆斯·紐頓·霍華	ZH.AG1.MU.U3.SH.IH1.NI.OU3.DU.AN4.HU.O4.HU.A4
鳳凰傳奇	F.EG4.HU.AG2.CHU.AN2.QI.I2
Gucci Mane	GU.U1.QI.I3.M.EI4.N
Billy Joel	BI.I1.LI.I3.JI.OU4
PENTAGON	P.EI4.T.A1.G.AG3
Lindsey Stirling	LI.IG4.XI.I3.S.DU.O4.GS.ER3.L.EG3
Slash	S.IH5.L.EI4.XU.YU5
Karmin	K.A2.MI.IN3
alt-J	GS.AO1.T.ZH.EI4
Kyary Pamyu Pamyu	K.AI1.R.I3.P.A1.R.Y.OU2.P.A1.R.Y.OU2
Van Morrison	M.AN1.M.O1.LI.I4.S.EN3
Shallou	XI.A1.L.OU5
陳偉霆	CH.EG2.W.EI3.TI.IG2
Natalie La Rose	N.AI4.K.E5.LI.IG4.L.AN2.R.E4.S
Icona Pop	GS.AI4.K.OU3.N.A3.P.A4.P
Sigur Rós	XI.IE4.G.E5.R.OU2.S.IH5
Songs For Children	S.AG1.S.IH5.BU.U3.CHU.U1.JU.AN1
陳以桐	CH.EN2.Y.I3.TU.OG2
Savage Garden	S.A4.BI.I2.JU.YU4.G.AO1.D.E5
乃木坂46	N.AI3.MU.U4.B.AN3.S.IH4.SH.IH2.LI.OU4
H.O.T.	GS.EI4.QU.YU5.GS.OU1.TI.I4
t.A.T.u.	T.A2.TU.U4
Vince Staples	F.I1.Y.IN2.S.ER5.S.D.EI1.BU.OU3.S
blink-182	BU.U2.LI.IG4.W.AN1.GS.EI1.TI.I1.TI.OU4.B.E5
Bernward Koch	BI.IE2.R.EN2.F.A2.K.A4.H.E2
Nina Simone	NI.I3.N.A4.XI.IE2.M.EG4
勝利	SH.EG4.LI.I4
拍謝少年	P.AI1.XI.IE4.SH.AO4.NI.AN2
Joyce Jonathan	ZHU.O4.Y.I3.S.IH5.JI.OG1.N.E3.S.EN5
Meek Mill	MI.I4.K.E5.MI.I1.GS.OU3
蔡恩雨	C.AI4.GS.EN1.YU.YU3
新寶島康樂隊	XI.IN1.B.AO2.D.AO3.K.AG1.L.E4.DU.EI4
The Veronicas	R.E5.M.ER3.RU.A1.NI.I3.K.A3.S
Ella Henderson	GS.E1.L.A3.H.EI1.M.S.EN3
G.Soul	JI.I1.S.OU4
André Previn	GS.AN1.ZHU.EI3.P.L.A4.F.EN3
Orange Caramel	GS.OU4.R.Y.IG3.JU.YU3.K.A1.R.E3.MI.AO3
Fatboy Slim	F.EI1.D.E5.BU.O4.Y.I2.S.LI.IG4
AURORA	GS.A1.RU.O1.R.A3
blackbear	L.AI1.BI.EI4.ER3
Jacob Banks	JI.IE1.K.A3.B.E5.BI.AN4.K.S
Dream Theater	JU.IN1.S.IH1.Y.OU4.T.ER3
Michael Giacchino	M.AI4.K.E3.JI.IE3.K.I1.N.OU3
落日飛車	LU.O4.R.IH4.F.EI1.CH.E1
秋山公良	QI.OU1.SH.AN1.GU.OG1.LI.AG2
Gorgon City	GU.O1.G.EN3.XI.I1.TI.I3
Austyn Johnson	GS.OU1.S.IH5.DI.IG1.ZHU.AG1.S.EN3
A$AP Rocky	GS.EI1.XI.IE4.RU.A4.K.I3
N.E.R.D	GS.AN1.Y.I1.GS.A4.DI.I4
Nat "King" Cole	NI.IE1.TI.IG1.K.OU3
坂本龍一	B.AN2.BI.EN3.R.OG2.Y.I5
Higher Brothers	H.AI1.ER3.BU.U4.R.A1.R.E5.R.I5
圈圈兒童	QU.AN1.QU.AN1.GS.ER2.TU.OG2
黃致列	HU.AG2.ZH.IH4.LI.IE4
Paolo Nutini	P.A1.L.OU5.LI.OU1.DI.AN3.NI.I3
Guns N' Roses	G.AN1.S.GS.EN3.R.OU1.S.E5.S
譚艷	T.AN2.Y.AN4
小男孩樂團	XI.AO3.N.AN2.H.AI2.YU.IE4.TU.AN2
申彗星	SH.EN1.HU.EI4.XI.IG1
Papa Roach	P.E5.P.A4.R.OU4.QU.YU5
鳳飛飛	F.EG4.F.EI1.F.EI1
Leessang	LI.I1.SH.AG4
拉敏賈瓦帝	L.A1.MI.IN3.JI.A3.W.A3.DI.I4
鄭宜農	ZH.EG4.Y.I2.NU.OG2
Bill Evans	BI.OU4.GS.EI1.F.EG3.S.IH5
Sam Tsui	SH.AN1.SU.U4
任然	R.EN4.R.AN2
希拉蕊韓	XI.I1.L.A1.RU.EI3.H.AN2
Bruce Springsteen	BU.U1.RU.U2.S.IH5.S.IH5.BU.U4.R.I5.S.D.EI3
Toni Braxton	T.OU2.NI.I3.RU.EI5.S.IH5.T.AI4.M
Kidsongs	K.I1.SH.OU4.M.S.IH5
Raimond Lap	RU.EI1.M.EN3.L.EI4.P.E5
馬修·連恩	M.A3.XI.OU1.LI.AN2.GS.EN1
Mstislav Rostropovich	S.DI.I1.S.IH5.G.AI1.P.S.IH5.Y.AO4.SU.AN4.F.OU1.BI.I3.S.IH5
比比‧金	BI.I3.BI.I3.JI.IG1
Dash Berlin	DI.IE4.XU.YU5.B.ER5.LI.IN4
Matt Johnson	MI.IE4.T.JI.AG1.S.EN3
F4	GS.AI2.BU.U2.S.IH4
聖結石	SH.EG4.JI.IE2.SH.IH2
Grace Carter	P.L.EI1.S.IH5.K.A3.T.ER3
Röyksopp	Y.OU2.S.A4.P.S
四分衛	S.IH4.F.EN1.W.EI4
Hello Nico	H.A1.L.OU3.N.EI4.K.OU3
Pentatonix	P.AN1.T.E5.T.A1.L.EI3.K.E5.S
Bee Gees	BI.I1.JI.I3.S.IH5
張國榮	ZH.AG1.GU.O2.R.OG2
Eric Nam	GS.EI1.R.I1.N.GS.AN4
Sixpence None the Richer	S.I1.S.PI.AN1.SH.IH4.N.AN2.D.E5.R.I1.CH.E3
Russ	RU.A4.S.IH5
黃靜雅	HU.AG2.JI.IG4.Y.A3
Dave Brubeck	DI.IE4.Y.I1.F.U5.BU.U4.RU.U1.D.EI1.K.E5
Seong-Jin Cho	S.I1.Y.OG4.JI.IN1.H.OU4
MOBB	M.A4.B.E5
WEDNESDAY CAMPANELLA	W.EI1.S.IH5.D.EI3.K.I1.EN1.P.L.EI4.M.ER3.L.A5
András Schiff	GS.AN1.JU.IE3.D.E5.S.XI.AN4
Dean Lewis	DI.IN4.LU.U1.Y.I3.S
約夏貝爾	YU.IE1.XI.A4.B.EI4.GS.ER3
JUN. K	JI.AG1.K.EI4
Hilary Duff	TI.I1.D.E5.R.I1.D.OU3
關淑怡	GU.AN1.SHU.U2.Y.I2
陳盈潔	CH.EN2.Y.IG2.JI.IE2
KNK	K.EI4.GS.EN1.K.EI4
CamelPhat	K.EI4.M.OU1.F.EI4.T.E5
林忠諭	LI.IN2.ZHU.OG1.YU.YU4
Anthony Gonzalez	GS.EN1.TU.OG5.NI.I3.GU.OG3.Z.A4.L.E3.S.IH5
SPICY CHOCOLATE	SH.IH2.B.AI1.XI.I1.QI.A4.K.E5.L.EI4.D.E5
Prince Royce	PI.IG4.S.IH5.RU.O4.Y.I3.S
吳雨霏	W.U2.YU.YU3.F.EI1
蔡旻佑	C.AI4.MI.IN2.Y.OU4
Muse	MI.OU4.S.T
Don McLean	D.AG1.M.EI3.K.LI.IG4.Y.IN3
王宏恩	W.AG2.HU.OG2.GS.EN1
Dillon Francis	DI.I1.L.EG3.F.EI1.S.IH5
王俊凱	W.AG2.JU.IN4.K.AI3
奧斯卡	GS.AO4.S.IH1.K.A3
187 INC	Y.I1.B.A1.QI.I1.GS.AI4.GS.EN1.XI.IN1
倪安東	NI.I2.GS.AN1.DU.OG1
Aqua	GS.A1.KU.A3
Hoody	HU.U1.DI.I3
Everland Kids	GS.EI1.F.ER3.R.EN3.K.I4.Z.IH5
Muffin Songs	M.A1.F.EN3.SU.OG4.S
Jordi Savall	JI.OU2.DI.I3.S.A1.F.U3
德永英明	D.E2.Y.OG3.Y.IG1.MI.IG2
Desiigner	DI.I1.S.IH5.Y.IN4.D.ER3
Joni Mitchell	JI.OU1.NI.I3.MI.I1.CH.OU3
國際首席愛樂樂團	GU.O2.JI.I4.SH.OU3.XI.I2.GS.AI4.YU.IE4.YU.IE4.TU.AN2
Showtek	XI.OU1.TI.IE3.K.E5
CLOVES	K.E2.M.EI3.S.S.IH5
American Authors	GS.A5.MI.IE1.R.I5.K.EN5.GS.OU1.S.ER3.S.IH5
João Gilberto	JI.OU2.W.EI2.GS.OU3.JI.I1.BU.O5.T.OU3
AGA	GS.A1.G.A5
霍洛維茲	HU.O4.LU.O4.W.EI2.Z.IH1
T.I.	TI.I1.GS.AI4
藍井艾露	L.AN2.JI.IG3.GS.AI4.LU.U4
Adam Lambert	GS.EI1.D.E3.M.LI.IE1.M.B.ER3.T
Fly by Midnight	F.U5.L.AI4.B.AI3.MI.I1.D.E5.N.AI4.T
高進	G.AO1.JI.IN4
Jewel	JU.YU3.W.EI4.GS.OU5
安迪威廉斯	GS.AN1.DI.I2.W.EI1.LI.AN2.S.IH1
甜約翰 Sweet John	TI.AN2.YU.IE1.H.AN4.S.IH5.W.E4.T.E5.JI.AG4
GoldLink	G.OU1.D.E5.LI.IG4.K
Frances	F.AN1.SH.EI4.S
Yuji Nomi	YU.YU2.JI.I1.N.A1.MI.IG5
Deva Premal	DI.IE1.F.A3.P.L.AI1.M.OU3
林奕匡	LI.IN2.Y.I4.KU.AG1
Gallant	G.E2.LI.AN4.T.ER5
飛輪海	F.EI1.LU.UN2.H.AI3
Sleep Music Academy	S.IH5.LI.I4.P.E5.MI.OU1.XI.I3.K.GS.E3.K.A1.D.E5.MI.I3
LÉON	LI.I1.Y.AG3
陳建年	CH.EN2.JI.IE4.NI.AN2
AI	GS.EI1.GS.AI4
Ofenbach	GS.OU1.F.EN1.BI.EI3.QU.YU5
ABBA	GS.EI1.B.A5
辛曉琪	XI.IN1.XI.AO3.QI.I2
Original Broadway Cast of Hamilton	GS.A1.R.I4.XU.IN4.L.ER3.BU.OU3.W.EI3.K.IE4.S.B.AO4.PI.AO1.R.OU4.ZH.EN3
林慧萍	LI.IN2.HU.EI4.PI.IG2
Billie Eilish	BI.I1.LI.I3.GS.EI1.LI.I3.XU.YU3
